epoch	lr	loss	acc	val_loss	val_acc	time
1	1.5e-01	2.3212	0.2968	2.6230	0.3103	190
2	1.7e-01	2.1169	0.4003	1.8684	0.4809	183
3	2.0e-01	2.0216	0.4399	1.7053	0.5310	181
4	2.2e-01	1.9298	0.4795	1.6085	0.5694	180
5	2.5e-01	1.8648	0.5073	1.3355	0.6524	180
6	2.5e-01	1.8003	0.5353	1.3464	0.6546	177
7	2.5e-01	1.7600	0.5515	1.1753	0.7016	178
8	2.5e-01	1.7110	0.5694	1.1388	0.7241	178
9	2.5e-01	1.6822	0.5850	1.1521	0.7210	178
10	2.5e-01	1.6501	0.5935	1.0257	0.7650	177
11	2.5e-01	1.6112	0.6069	0.9955	0.7708	178
12	2.5e-01	1.6001	0.6134	0.9493	0.7880	178
13	2.5e-01	1.5661	0.6244	0.9712	0.7692	177
14	2.5e-01	1.5469	0.6311	0.9112	0.7928	178
15	2.5e-01	1.5336	0.6357	0.9890	0.7687	178
16	2.5e-01	1.5043	0.6473	0.8848	0.8041	178
17	2.5e-01	1.4912	0.6487	0.8645	0.8062	178
18	2.5e-01	1.4794	0.6556	0.8636	0.8066	178
19	2.5e-01	1.4597	0.6581	0.8403	0.8124	178
20	2.5e-01	1.4445	0.6644	0.8113	0.8266	178
21	2.5e-01	1.4400	0.6672	0.7918	0.8276	177
22	2.5e-01	1.4235	0.6736	0.7907	0.8263	178
23	2.5e-01	1.4077	0.6776	0.7654	0.8350	177
24	2.5e-01	1.3938	0.6811	0.7674	0.8323	177
25	2.5e-01	1.3822	0.6832	0.7875	0.8345	178
26	2.5e-01	1.3617	0.6902	0.7665	0.8308	178
27	2.5e-01	1.3649	0.6890	0.7151	0.8493	177
28	2.5e-01	1.3531	0.6945	0.7222	0.8439	178
29	2.5e-01	1.3436	0.6959	0.7801	0.8272	177
30	2.5e-01	1.3332	0.7000	0.7319	0.8498	178
31	2.5e-01	1.3261	0.7027	0.7018	0.8467	178
32	2.5e-01	1.3101	0.7086	0.6908	0.8567	177
33	2.5e-01	1.3064	0.7109	0.6935	0.8508	177
34	2.5e-01	1.3017	0.7105	0.6736	0.8604	177
35	2.5e-01	1.2927	0.7153	0.6832	0.8581	178
36	2.5e-01	1.2834	0.7179	0.6811	0.8580	178
37	2.5e-01	1.2787	0.7168	0.6571	0.8689	177
38	2.5e-01	1.2722	0.7189	0.6909	0.8474	177
39	2.5e-01	1.2696	0.7225	0.7040	0.8537	177
40	2.5e-01	1.2617	0.7252	0.6876	0.8557	178
41	2.5e-01	1.2524	0.7315	0.6533	0.8672	177
42	2.5e-01	1.2563	0.7271	0.6503	0.8654	178
43	2.5e-01	1.2513	0.7287	0.6299	0.8706	177
44	2.5e-01	1.2413	0.7330	0.6174	0.8679	177
45	2.5e-01	1.2391	0.7302	0.6687	0.8633	177
46	2.5e-01	1.2183	0.7387	0.6639	0.8601	178
47	2.5e-01	1.2289	0.7361	0.6409	0.8670	177
48	2.5e-01	1.2218	0.7390	0.6057	0.8794	178
49	2.5e-01	1.2091	0.7446	0.6222	0.8752	177
50	2.5e-01	1.2144	0.7407	0.6435	0.8605	177
51	2.5e-01	1.2189	0.7398	0.6380	0.8775	177
52	2.5e-01	1.2039	0.7435	0.6197	0.8801	178
53	2.5e-01	1.1985	0.7466	0.6345	0.8742	177
54	2.5e-01	1.1958	0.7501	0.6126	0.8736	178
55	2.5e-01	1.1981	0.7482	0.6000	0.8839	177
56	2.5e-01	1.2001	0.7440	0.6329	0.8715	178
57	2.5e-01	1.1897	0.7497	0.5662	0.8872	177
58	2.5e-01	1.1831	0.7536	0.6364	0.8707	178
59	2.5e-01	1.1784	0.7531	0.6273	0.8728	178
60	2.5e-01	1.1828	0.7530	0.6035	0.8784	177
61	2.5e-01	1.1710	0.7590	0.6161	0.8756	178
62	2.5e-01	1.1710	0.7576	0.5893	0.8817	178
63	2.5e-01	1.1712	0.7597	0.6360	0.8712	177
64	2.5e-01	1.1724	0.7589	0.6195	0.8669	178
65	2.5e-01	1.1691	0.7607	0.5863	0.8833	177
66	2.5e-01	1.1669	0.7600	0.5701	0.8886	178
67	2.5e-01	1.1628	0.7604	0.5963	0.8842	178
68	2.5e-01	1.1597	0.7619	0.6089	0.8874	178
69	2.5e-01	1.1515	0.7660	0.5827	0.8885	177
70	2.5e-01	1.1541	0.7641	0.5848	0.8928	177
71	2.5e-01	1.1521	0.7648	0.5964	0.8805	178
72	2.5e-01	1.1490	0.7652	0.6383	0.8735	178
73	2.5e-01	1.1460	0.7663	0.5548	0.9048	177
74	2.5e-01	1.1428	0.7691	0.6031	0.8873	178
75	2.5e-01	1.1385	0.7684	0.5984	0.8827	178
76	2.5e-01	1.1421	0.7703	0.6013	0.8836	178
77	2.5e-01	1.1372	0.7746	0.5788	0.8889	178
78	2.5e-01	1.1419	0.7711	0.6174	0.8789	178
79	2.5e-01	1.1408	0.7715	0.5416	0.8984	178
80	2.5e-01	1.1322	0.7753	0.5724	0.8878	177
81	2.5e-01	1.1392	0.7720	0.5609	0.8883	178
82	2.5e-01	1.1269	0.7752	0.5518	0.8977	178
83	2.5e-01	1.1253	0.7765	0.5312	0.9002	178
84	2.5e-01	1.1323	0.7739	0.5402	0.9004	178
85	2.5e-01	1.1265	0.7792	0.6047	0.8794	177
86	2.5e-01	1.1239	0.7791	0.5482	0.9047	178
87	2.5e-01	1.1285	0.7783	0.5424	0.8943	178
88	2.5e-01	1.1177	0.7808	0.5230	0.9065	177
89	2.5e-01	1.1190	0.7805	0.5533	0.8926	177
90	2.5e-01	1.1221	0.7767	0.5866	0.8897	178
91	2.5e-01	1.1160	0.7808	0.5545	0.8990	178
92	2.5e-01	1.1245	0.7779	0.5497	0.8939	178
93	2.5e-01	1.1106	0.7821	0.5616	0.9012	177
94	2.5e-01	1.1192	0.7817	0.5581	0.8945	178
95	2.5e-01	1.1070	0.7876	0.6115	0.8768	178
96	2.5e-01	1.1137	0.7828	0.5465	0.9013	178
97	2.5e-01	1.1114	0.7845	0.5625	0.8939	178
98	2.5e-01	1.1126	0.7852	0.5336	0.8991	177
99	2.5e-01	1.1072	0.7893	0.5942	0.8870	178
100	2.5e-01	1.1110	0.7848	0.5704	0.8905	177
101	2.5e-01	1.1043	0.7883	0.5275	0.9031	177
102	2.5e-01	1.1088	0.7862	0.5413	0.8997	177
103	2.5e-01	1.1089	0.7891	0.5402	0.9080	178
104	2.5e-01	1.1045	0.7871	0.5364	0.9085	177
105	2.5e-01	1.0994	0.7899	0.5129	0.9074	177
106	2.5e-01	1.1096	0.7876	0.5386	0.8985	177
107	2.5e-01	1.0998	0.7900	0.5308	0.9033	177
108	2.5e-01	1.1021	0.7884	0.5194	0.9116	178
109	2.5e-01	1.0986	0.7908	0.6065	0.8857	177
110	2.5e-01	1.1032	0.7899	0.5310	0.9004	178
111	2.5e-01	1.0942	0.7921	0.4964	0.9155	177
112	2.5e-01	1.0992	0.7895	0.5131	0.9108	178
113	2.5e-01	1.1002	0.7898	0.5696	0.9049	178
114	2.5e-01	1.1033	0.7889	0.5562	0.9099	178
115	2.5e-01	1.0891	0.7959	0.5665	0.8985	177
116	2.5e-01	1.1035	0.7908	0.5877	0.8867	178
117	2.5e-01	1.0896	0.7934	0.5267	0.9087	178
118	2.5e-01	1.0970	0.7922	0.5294	0.9023	178
119	2.5e-01	1.0938	0.7923	0.5082	0.9162	177
120	2.5e-01	1.0968	0.7935	0.5617	0.8974	177
121	2.5e-01	1.0903	0.7953	0.5485	0.9078	178
122	2.5e-01	1.0887	0.7951	0.5675	0.8997	178
123	2.5e-01	1.0872	0.7966	0.5063	0.9150	177
124	2.5e-01	1.0908	0.7961	0.5241	0.9172	177
125	2.5e-01	1.0898	0.7971	0.5399	0.9140	178
126	2.5e-01	1.0878	0.7962	0.4997	0.9220	178
127	2.5e-01	1.0900	0.7979	0.5268	0.9080	178
128	2.5e-01	1.0898	0.7956	0.5224	0.9122	178
129	2.5e-01	1.0885	0.7956	0.5655	0.9079	177
130	2.5e-01	1.0846	0.7976	0.5122	0.9161	178
131	2.5e-01	1.0991	0.7926	0.5592	0.9059	178
132	2.5e-01	1.0809	0.8013	0.5259	0.9108	178
133	2.5e-01	1.0814	0.7995	0.6040	0.8841	177
134	2.5e-01	1.0851	0.7985	0.5544	0.9085	178
135	2.5e-01	1.0786	0.8018	0.4962	0.9196	178
136	2.5e-01	1.0880	0.8003	0.5694	0.8964	178
137	2.5e-01	1.0812	0.8010	0.5145	0.9105	177
138	2.5e-01	1.0846	0.8014	0.5325	0.9058	178
139	2.5e-01	1.0822	0.8010	0.5086	0.9149	178
140	2.5e-01	1.0794	0.8018	0.5261	0.9087	177
141	2.5e-01	1.0853	0.8000	0.5868	0.8971	177
142	2.5e-01	1.0805	0.7986	0.5542	0.9083	178
143	2.5e-01	1.0782	0.8018	0.5292	0.9050	178
144	2.5e-01	1.0775	0.8011	0.5722	0.8914	177
145	2.5e-01	1.0758	0.8047	0.5166	0.9185	177
146	2.5e-01	1.0761	0.8037	0.5780	0.9056	177
147	2.5e-01	1.0742	0.8045	0.5150	0.9145	178
148	2.5e-01	1.0877	0.7989	0.5445	0.9087	177
149	2.5e-01	1.0755	0.8041	0.5518	0.9131	177
150	2.5e-02	1.0157	0.8285	0.4387	0.9422	177
151	2.5e-02	0.9774	0.8430	0.4184	0.9472	177
152	2.5e-02	0.9693	0.8463	0.4182	0.9459	178
153	2.5e-02	0.9617	0.8491	0.4053	0.9512	178
154	2.5e-02	0.9518	0.8528	0.4196	0.9492	178
155	2.5e-02	0.9512	0.8531	0.4035	0.9506	178
156	2.5e-02	0.9489	0.8512	0.4129	0.9523	177
157	2.5e-02	0.9379	0.8570	0.3986	0.9553	178
158	2.5e-02	0.9429	0.8539	0.4060	0.9489	178
159	2.5e-02	0.9401	0.8564	0.4138	0.9495	177
160	2.5e-02	0.9298	0.8590	0.3985	0.9549	178
161	2.5e-02	0.9326	0.8579	0.3942	0.9536	178
162	2.5e-02	0.9311	0.8591	0.4051	0.9516	177
163	2.5e-02	0.9242	0.8594	0.3855	0.9538	177
164	2.5e-02	0.9258	0.8575	0.3992	0.9516	178
165	2.5e-02	0.9136	0.8635	0.4007	0.9520	178
166	2.5e-02	0.9218	0.8601	0.4078	0.9527	177
167	2.5e-02	0.9169	0.8618	0.4024	0.9524	178
