epoch	lr	loss	acc	val_loss	val_acc	delta_ema
1	1.0e-01	4.4963	0.0614	4.1719	0.0905	0.05228
2	1.0e-01	4.0175	0.1157	3.9017	0.1431	0.09751
3	1.0e-01	3.6221	0.1847	3.5593	0.2018	0.14177
4	1.0e-01	3.2557	0.2586	3.5823	0.2164	0.15266
5	1.0e-01	2.9741	0.3211	2.9222	0.3460	0.14121
6	1.0e-01	2.7883	0.3753	3.0465	0.3348	0.10811
7	1.0e-01	2.6361	0.4189	2.7355	0.4080	0.08107
8	1.0e-01	2.5480	0.4522	3.0896	0.3780	0.05770
9	1.0e-01	2.4793	0.4790	2.6204	0.4571	0.03594
10	1.0e-01	2.4252	0.5061	3.2051	0.4075	0.02349
11	1.0e-01	2.3926	0.5222	2.5880	0.4933	0.01271
12	1.0e-01	2.3697	0.5368	2.6086	0.5144	0.01374
13	1.0e-01	2.3643	0.5470	2.6058	0.5075	-0.00113
14	1.0e-01	2.3524	0.5598	2.5411	0.5241	-0.00521
15	1.0e-01	2.3338	0.5714	2.5722	0.5293	-0.00159
16	1.0e-01	2.3349	0.5815	2.6365	0.5252	-0.00281
17	1.0e-01	2.3424	0.5852	2.8904	0.4868	-0.00612
18	1.0e-01	2.3421	0.5937	2.5897	0.5476	-0.00831
19	1.0e-01	2.3351	0.6024	2.7816	0.5217	-0.00594
20	1.0e-01	2.3533	0.6016	3.2027	0.4677	-0.01231
21	1.0e-01	2.3498	0.6069	2.6913	0.5435	-0.01321
22	1.0e-01	2.3543	0.6121	2.9806	0.5174	-0.01369
23	1.0e-01	2.3516	0.6185	2.7626	0.5469	-0.00977
24	1.0e-01	2.3605	0.6191	2.6226	0.5694	-0.01084
25	1.0e-01	2.3662	0.6215	2.7536	0.5588	-0.01160
26	1.0e-01	2.3728	0.6248	3.1455	0.4907	-0.01206
27	1.0e-01	2.3765	0.6272	2.6772	0.5815	-0.01107
28	1.0e-01	2.3860	0.6273	2.9090	0.5399	-0.01409
29	1.0e-01	2.3773	0.6347	2.7543	0.5687	-0.01031
30	1.0e-01	2.3795	0.6380	2.6618	0.5852	-0.01001
31	1.0e-01	2.3833	0.6382	2.7059	0.5777	-0.01003
32	1.0e-01	2.3895	0.6377	2.7719	0.5649	-0.01338
33	1.0e-01	2.3950	0.6417	3.0042	0.5302	-0.00922
34	1.0e-01	2.3987	0.6426	3.0761	0.5343	-0.01701
35	1.0e-01	2.4014	0.6449	2.9288	0.5540	-0.01204
36	1.0e-01	2.4026	0.6453	2.9045	0.5691	-0.01072
37	1.0e-01	2.4166	0.6469	2.8926	0.5659	-0.01702
38	1.0e-01	2.4128	0.6465	2.9949	0.5516	-0.01569
39	1.0e-01	2.4061	0.6516	3.0073	0.5412	-0.01324
40	1.0e-01	2.4136	0.6527	2.7057	0.5999	-0.01227
41	1.0e-01	2.4159	0.6539	3.2139	0.5298	-0.00792
42	1.0e-01	2.4183	0.6525	3.2107	0.5215	-0.01527
43	1.0e-01	2.4277	0.6517	2.9142	0.5737	-0.01211
44	1.0e-01	2.4229	0.6563	2.9218	0.5697	-0.01447
45	1.0e-01	2.4244	0.6579	3.0063	0.5523	-0.00979
46	1.0e-01	2.4205	0.6579	2.8689	0.5724	-0.01049
47	1.0e-01	2.4276	0.6603	2.8064	0.5929	-0.01510
48	1.0e-01	2.4275	0.6608	2.9190	0.5788	-0.01016
49	1.0e-01	2.4364	0.6605	2.7391	0.6057	-0.01248
50	1.0e-01	2.4284	0.6616	2.8746	0.5857	-0.00875
51	1.0e-01	2.4294	0.6632	2.9648	0.5624	-0.01032
52	1.0e-01	2.4376	0.6638	2.9429	0.5735	-0.01313
53	1.0e-01	2.4248	0.6676	2.8820	0.5779	-0.00492
54	1.0e-01	2.4420	0.6636	2.9534	0.5561	-0.01368
55	1.0e-01	2.4365	0.6671	2.8655	0.5992	-0.01411
