epoch	lr	loss	acc	val_loss	val_acc	time	delta_ema
1	1.0e-01	3.9997	0.0901	3.5464	0.1655	1016	0.07511
2	1.0e-01	3.3797	0.1943	3.1917	0.2406	1008	0.10617
3	1.0e-01	2.9717	0.2762	2.6829	0.3441	1012	0.08344
4	1.0e-01	2.6983	0.3387	2.5011	0.3726	1013	0.06284
5	1.0e-01	2.4997	0.3854	2.3014	0.4339	1029	0.04475
6	1.0e-01	2.3415	0.4201	2.2033	0.4718	1018	0.03073
7	1.0e-01	2.2209	0.4522	2.0880	0.4917	1012	0.02863
8	1.0e-01	2.1204	0.4760	1.8543	0.5438	1014	0.02588
9	1.0e-01	2.0373	0.4967	1.8401	0.5527	1019	0.01318
10	1.0e-01	1.9392	0.5192	1.8450	0.5530	1037	0.01446
11	1.0e-01	1.8821	0.5312	1.7934	0.5649	1242	0.00666
12	1.0e-01	1.8166	0.5482	1.6456	0.5956	1094	0.00608
13	1.0e-01	1.7584	0.5640	1.5794	0.6193	1035	0.01268
14	1.0e-01	1.7086	0.5772	1.6266	0.6027	1019	-0.00221
15	1.0e-01	1.6634	0.5876	1.6683	0.6023	1017	0.00154
16	1.0e-01	1.6207	0.5976	1.4775	0.6480	1019	0.00656
17	1.0e-01	1.5746	0.6097	1.5245	0.6413	1010	0.00096
18	1.0e-01	1.5339	0.6194	1.5472	0.6408	1005	-0.00341
19	1.0e-01	1.5057	0.6234	1.5662	0.6353	1006	-0.00170
20	1.0e-01	1.4628	0.6398	1.4325	0.6581	1008	0.00256
21	1.0e-01	1.4286	0.6476	1.4432	0.6608	1006	0.00242
22	1.0e-01	1.3947	0.6559	1.4475	0.6621	1009	0.00218
23	1.0e-01	1.3638	0.6602	1.3792	0.6810	1015	-0.00598
24	1.0e-01	1.3423	0.6685	1.4423	0.6710	1009	-0.00445
25	1.0e-01	1.3120	0.6743	1.3203	0.6873	1016	-0.00053
26	1.0e-01	1.2874	0.6824	1.3526	0.6871	1010	-0.00843
27	1.0e-01	1.2581	0.6906	1.3776	0.6872	1001	-0.00290
28	1.0e-01	1.2261	0.7003	1.3643	0.6877	1002	-0.00283
29	1.0e-01	1.2093	0.7014	1.4123	0.6802	1002	-0.00303
30	1.0e-01	1.1875	0.7073	1.3510	0.6947	999	-0.00282
31	1.0e-01	1.1545	0.7175	1.2844	0.7104	1002	-0.00989
32	1.0e-01	1.1384	0.7228	1.3060	0.7019	999	-0.00642
33	1.0e-01	1.1188	0.7267	1.2619	0.7228	1009	-0.00210
34	1.0e-01	1.0890	0.7315	1.2667	0.7213	1013	-0.00295
35	1.0e-01	1.0836	0.7345	1.3112	0.7114	1007	-0.01413
36	1.0e-01	1.0688	0.7389	1.3525	0.7049	1002	-0.00116
37	1.0e-01	1.0490	0.7444	1.3251	0.7115	1003	-0.00411
38	1.0e-01	1.0222	0.7510	1.2675	0.7167	1003	-0.00361
39	1.0e-01	1.0118	0.7530	1.2983	0.7223	1005	-0.00934
40	1.0e-01	0.9908	0.7591	1.2952	0.7176	1002	-0.00703
41	1.0e-01	0.9794	0.7614	1.2867	0.7183	1002	-0.00240
42	1.0e-01	0.9580	0.7670	1.2580	0.7190	1002	-0.00987
43	1.0e-01	0.9319	0.7744	1.3098	0.7212	1003	-0.00808
44	1.0e-01	0.9342	0.7764	1.3441	0.7143	1001	-0.01145
45	1.0e-01	0.9054	0.7821	1.3068	0.7237	1003	-0.00309
46	1.0e-01	0.8921	0.7870	1.3732	0.7185	1002	-0.00507
47	1.0e-01	0.8825	0.7903	1.3075	0.7219	1005	-0.00890
48	1.0e-01	0.8840	0.7864	1.3393	0.7215	1002	-0.00373
49	1.0e-01	0.8502	0.7968	1.2731	0.7337	1002	-0.00050
50	1.0e-01	0.8510	0.7992	1.2885	0.7251	1003	-0.00286
51	1.0e-01	0.8364	0.8017	1.3439	0.7209	1002	-0.00156
52	1.0e-01	0.8283	0.8037	1.3786	0.7194	1004	-0.00745
53	1.0e-01	0.8038	0.8104	1.2355	0.7383	1006	-0.00353
54	1.0e-01	0.7992	0.8116	1.3100	0.7348	1008	-0.00930
55	1.0e-01	0.7932	0.8140	1.2780	0.7424	1013	-0.00122
56	1.0e-01	0.7710	0.8188	1.2701	0.7329	1007	-0.00105
57	1.0e-01	0.7680	0.8189	1.3790	0.7229	1004	-0.00222
58	1.0e-01	0.7646	0.8190	1.3523	0.7281	1002	-0.00608
59	1.0e-01	0.7379	0.8278	1.3198	0.7327	1003	-0.00286
60	1.0e-01	0.7381	0.8276	1.3283	0.7357	1002	-0.00382
61	1.0e-01	0.7173	0.8336	1.3733	0.7285	999	-0.00412
62	1.0e-01	0.7273	0.8311	1.2984	0.7380	997	-0.00695
63	1.0e-01	0.7140	0.8336	1.3100	0.7413	997	-0.00749
64	1.0e-01	0.7124	0.8365	1.2719	0.7453	998	-0.00158
65	1.0e-01	0.6904	0.8393	1.2999	0.7372	998	-0.00696
66	1.0e-01	0.6790	0.8435	1.3344	0.7346	1000	-0.00014
67	1.0e-01	0.6799	0.8426	1.3989	0.7274	1077	-0.00263
68	1.0e-01	0.6696	0.8459	1.3501	0.7381	1093	0.00251
69	1.0e-01	0.6603	0.8482	1.4435	0.7230	1092	-0.00316
70	1.0e-01	0.6572	0.8492	1.2533	0.7565	1094	-0.00924
71	1.0e-01	0.6510	0.8507	1.2763	0.7483	1092	-0.00697
72	1.0e-01	0.6397	0.8534	1.2959	0.7455	1093	-0.00689
73	1.0e-01	0.6405	0.8542	1.3072	0.7495	1109	-0.00603
74	1.0e-01	0.6254	0.8578	1.3165	0.7450	1100	-0.00189
75	1.0e-01	0.6177	0.8599	1.3769	0.7368	1099	-0.00347
76	1.0e-01	0.6151	0.8597	1.3475	0.7430	1090	-0.00122
77	1.0e-01	0.6045	0.8635	1.3517	0.7378	1094	-0.00724
78	1.0e-01	0.5963	0.8653	1.3553	0.7395	1096	-0.00012
79	1.0e-01	0.5976	0.8659	1.4273	0.7307	1088	-0.00432
80	1.0e-01	0.6019	0.8634	1.2535	0.7571	1088	-0.00420
81	1.0e-02	0.4601	0.9051	1.0982	0.7817	1087	0.03044
82	1.0e-02	0.4062	0.9198	1.0750	0.7847	1087	0.00784
83	1.0e-02	0.3847	0.9232	1.0677	0.7852	1089	0.00348
84	1.0e-02	0.3718	0.9266	1.0574	0.7871	1087	0.00391
85	1.0e-02	0.3577	0.9295	1.0427	0.7878	1086	0.00519
86	1.0e-02	0.3556	0.9286	1.0302	0.7911	1089	0.00210
87	1.0e-02	0.3403	0.9324	1.0296	0.7897	1091	0.00149
88	1.0e-02	0.3417	0.9303	1.0225	0.7885	1085	-0.00048
89	1.0e-02	0.3301	0.9328	1.0199	0.7887	1086	-0.00153
90	1.0e-02	0.3259	0.9325	1.0147	0.7893	1062	0.00383
91	1.0e-02	0.3218	0.9328	1.0072	0.7921	1097	-0.00089
92	1.0e-02	0.3109	0.9355	1.0029	0.7925	1096	0.00118
93	1.0e-02	0.3136	0.9353	0.9974	0.7921	1096	0.00215
94	1.0e-02	0.3042	0.9369	1.0009	0.7917	1114	0.00028
95	1.0e-02	0.2999	0.9371	1.0021	0.7907	1109	0.00201
96	1.0e-02	0.3004	0.9374	0.9975	0.7904	1095	0.00252
97	1.0e-02	0.2977	0.9375	0.9933	0.7901	1187	0.00101
98	1.0e-02	0.2927	0.9384	0.9851	0.7902	1218	0.00005
99	1.0e-02	0.2976	0.9375	0.9881	0.7904	1239	0.00139
100	1.0e-02	0.2964	0.9364	0.9871	0.7901	1241	0.00064
101	1.0e-02	0.2873	0.9386	0.9879	0.7904	1088	-0.00120
102	1.0e-02	0.2859	0.9380	0.9877	0.7899	1092	0.00092
103	1.0e-02	0.2835	0.9388	0.9834	0.7941	1075	-0.00229
104	1.0e-02	0.2781	0.9411	0.9849	0.7929	1049	0.00268
105	1.0e-02	0.2811	0.9389	0.9904	0.7888	1050	-0.00360
106	1.0e-02	0.2767	0.9402	0.9871	0.7925	1043	0.00320
107	1.0e-02	0.2768	0.9392	0.9925	0.7914	1101	0.00142
108	1.0e-02	0.2715	0.9421	0.9973	0.7935	1097	-0.00064
109	1.0e-02	0.2736	0.9402	0.9945	0.7934	1098	-0.00276
110	1.0e-02	0.2707	0.9414	0.9887	0.7924	1097	0.00123
111	1.0e-02	0.2676	0.9421	0.9912	0.7936	1097	0.00034
112	1.0e-02	0.2669	0.9413	0.9828	0.7919	1098	0.00254
113	1.0e-02	0.2663	0.9427	0.9876	0.7938	1097	-0.00201
114	1.0e-02	0.2618	0.9429	0.9836	0.7934	1097	0.00405
115	1.0e-02	0.2644	0.9411	0.9888	0.7906	1099	-0.00070
116	1.0e-02	0.2604	0.9432	0.9889	0.7906	1099	0.00018
117	1.0e-02	0.2664	0.9409	0.9853	0.7920	1039	0.00009
118	1.0e-02	0.2621	0.9415	0.9895	0.7891	1001	-0.00274
119	1.0e-02	0.2575	0.9428	0.9945	0.7889	999	-0.00013
120	1.0e-02	0.2546	0.9440	0.9929	0.7928	999	0.00198
121	1.0e-03	0.2509	0.9456	0.9834	0.7938	1000	0.00079
122	1.0e-03	0.2464	0.9458	0.9780	0.7922	1001	-0.00013
123	1.0e-03	0.2455	0.9470	0.9773	0.7939	1006	-0.00001
124	1.0e-03	0.2470	0.9463	0.9764	0.7942	999	0.00027
