epoch	lr	loss	acc	val_loss	val_acc	time
1	3.1e-01	4.5373	0.0723	9.4807	0.0493	77
2	4.3e-01	4.1798	0.1343	8.1806	0.0611	70
3	5.5e-01	3.9462	0.1794	7.4337	0.1190	66
4	6.6e-01	3.7910	0.2131	5.7775	0.1560	66
5	7.8e-01	3.6800	0.2390	4.3151	0.2192	67
6	7.8e-01	3.5820	0.2592	3.1728	0.3346	64
7	7.8e-01	3.4754	0.2834	3.0852	0.3265	64
8	7.8e-01	3.4103	0.2997	2.6411	0.4099	64
9	7.8e-01	3.3340	0.3189	2.5403	0.4326	65
10	7.8e-01	3.2752	0.3336	2.3699	0.4630	63
11	7.8e-01	3.2285	0.3445	2.3509	0.4691	63
12	7.8e-01	3.1654	0.3585	2.2495	0.4929	64
13	7.8e-01	3.1223	0.3709	2.2498	0.4954	63
14	7.8e-01	3.0921	0.3776	2.2256	0.5014	64
15	7.8e-01	3.0565	0.3874	2.1863	0.5072	63
16	7.8e-01	3.0251	0.3984	2.1405	0.5174	66
17	7.8e-01	2.9971	0.4041	2.1181	0.5290	64
18	7.8e-01	2.9633	0.4132	2.2174	0.5110	63
19	7.8e-01	2.9325	0.4227	2.0881	0.5325	63
20	7.8e-01	2.8997	0.4265	2.0111	0.5468	63
21	7.8e-01	2.8847	0.4332	1.9944	0.5553	63
22	7.8e-01	2.8679	0.4394	1.9714	0.5573	63
23	7.8e-01	2.8411	0.4454	1.8893	0.5839	64
24	7.8e-01	2.8364	0.4459	1.9846	0.5610	63
25	7.8e-01	2.8124	0.4544	1.8990	0.5778	63
26	7.8e-01	2.7898	0.4579	1.9331	0.5765	64
27	7.8e-01	2.7669	0.4676	1.9075	0.5831	63
28	7.8e-01	2.7598	0.4671	1.7973	0.6026	63
29	7.8e-01	2.7372	0.4768	1.8199	0.6007	63
30	7.8e-01	2.7312	0.4763	1.8522	0.5925	64
31	7.8e-01	2.7302	0.4745	1.7756	0.6116	64
32	7.8e-01	2.6997	0.4875	1.8065	0.6076	63
33	7.8e-01	2.7021	0.4837	1.7511	0.6177	63
34	7.8e-01	2.6518	0.4995	1.8260	0.6011	65
35	7.8e-01	2.6657	0.4963	1.8457	0.6071	64
36	7.8e-01	2.6532	0.5013	1.8460	0.5985	63
37	7.8e-01	2.6364	0.5030	1.7777	0.6169	63
38	7.8e-01	2.6281	0.5080	1.7158	0.6365	64
39	7.8e-01	2.6255	0.5075	1.7678	0.6252	63
40	7.8e-01	2.6025	0.5141	1.8139	0.6067	64
41	7.8e-01	2.5981	0.5165	1.7299	0.6287	64
42	7.8e-01	2.5957	0.5195	1.7709	0.6143	63
43	7.8e-01	2.5827	0.5210	1.6742	0.6390	64
44	7.8e-01	2.5713	0.5268	1.7910	0.6177	64
45	7.8e-01	2.5613	0.5281	1.7018	0.6374	64
46	7.8e-01	2.5561	0.5304	1.7029	0.6392	64
47	7.8e-01	2.5406	0.5377	1.8242	0.6168	63
48	7.8e-01	2.5504	0.5352	1.7184	0.6368	63
49	7.8e-01	2.5324	0.5392	1.6558	0.6592	63
50	7.8e-01	2.5352	0.5398	1.7198	0.6333	64
51	7.8e-01	2.5074	0.5431	1.6695	0.6461	64
52	7.8e-01	2.5106	0.5476	1.6434	0.6600	63
53	7.8e-01	2.5086	0.5479	1.7184	0.6401	64
54	7.8e-01	2.5036	0.5505	1.7812	0.6272	64
55	7.8e-01	2.4949	0.5544	1.7135	0.6383	63
56	7.8e-01	2.4917	0.5560	1.6715	0.6574	63
57	7.8e-01	2.4774	0.5587	1.7722	0.6364	63
58	7.8e-01	2.4733	0.5590	1.6790	0.6503	63
59	7.8e-01	2.4802	0.5591	1.6397	0.6612	64
60	7.8e-01	2.4788	0.5612	1.7533	0.6418	64
61	7.8e-01	2.4647	0.5616	1.8128	0.6244	64
62	7.8e-01	2.4572	0.5675	1.7731	0.6307	63
63	7.8e-01	2.4668	0.5649	1.7630	0.6410	64
64	7.8e-01	2.4553	0.5707	1.6530	0.6626	63
65	7.8e-01	2.4471	0.5703	1.7125	0.6478	63
66	7.8e-01	2.4398	0.5721	1.6772	0.6600	65
67	7.8e-01	2.4378	0.5733	1.8077	0.6316	63
68	7.8e-01	2.4475	0.5721	1.6341	0.6695	64
69	7.8e-01	2.4304	0.5778	1.6788	0.6590	64
70	7.8e-01	2.4304	0.5786	1.6648	0.6676	63
71	7.8e-01	2.4243	0.5784	1.7830	0.6338	63
72	7.8e-01	2.4107	0.5844	1.7733	0.6439	64
73	7.8e-01	2.4163	0.5824	1.6948	0.6665	63
74	7.8e-01	2.4145	0.5827	1.6878	0.6587	63
75	7.8e-01	2.4083	0.5861	1.7753	0.6442	64
76	7.8e-01	2.4194	0.5845	1.6535	0.6669	63
77	7.8e-01	2.4041	0.5909	1.7392	0.6553	64
78	7.8e-01	2.3978	0.5921	1.7166	0.6508	63
79	7.8e-01	2.3886	0.5952	1.7094	0.6591	63
80	7.8e-01	2.3950	0.5940	1.6894	0.6610	63
81	7.8e-01	2.3913	0.5934	1.7139	0.6644	64
82	7.8e-01	2.3985	0.5934	1.7811	0.6473	64
83	7.8e-01	2.3901	0.5939	1.6776	0.6697	63
84	7.8e-01	2.3832	0.5976	1.7284	0.6578	64
85	7.8e-01	2.3739	0.5990	1.6762	0.6681	65
86	7.8e-01	2.3827	0.5998	1.6953	0.6644	64
87	7.8e-01	2.3775	0.5996	1.7147	0.6612	65
88	7.8e-01	2.3737	0.6040	1.7204	0.6608	63
89	7.8e-01	2.3809	0.6007	1.6966	0.6613	64
90	7.8e-01	2.3690	0.6068	1.7743	0.6458	63
91	7.8e-01	2.3735	0.6035	1.7097	0.6690	64
92	7.8e-01	2.3579	0.6094	1.7948	0.6541	63
93	7.8e-01	2.3546	0.6099	1.7941	0.6451	63
94	7.8e-01	2.3556	0.6075	1.7445	0.6538	63
95	7.8e-01	2.3539	0.6105	1.6469	0.6747	64
96	7.8e-01	2.3549	0.6093	1.7355	0.6544	63
97	7.8e-01	2.3601	0.6104	1.7171	0.6687	63
98	7.8e-01	2.3390	0.6135	1.7031	0.6776	64
99	7.8e-01	2.3339	0.6177	1.6383	0.6847	64
100	7.8e-01	2.3544	0.6122	1.7600	0.6520	63
101	7.8e-01	2.3301	0.6203	1.7413	0.6642	64
102	7.8e-01	2.3272	0.6212	1.7700	0.6590	63
103	7.8e-01	2.3390	0.6198	1.9060	0.6250	63
104	7.8e-01	2.3299	0.6203	1.7822	0.6554	65
105	7.8e-01	2.3276	0.6214	1.7569	0.6589	63
106	7.8e-01	2.3221	0.6214	1.7100	0.6744	63
107	7.8e-01	2.3209	0.6239	1.6127	0.6921	64
