epoch	lr	loss	acc	val_loss	val_acc	time
1	2.5e-02	6.7919	0.0519	7.9855	0.0944	536
2	3.4e-02	6.0844	0.1057	5.7687	0.1588	511
3	4.4e-02	5.4172	0.1598	5.9382	0.1498	503
4	5.3e-02	4.7939	0.2143	4.8685	0.2525	501
5	6.2e-02	4.2842	0.2538	3.5666	0.3676	501
6	6.2e-02	3.7891	0.3044	3.0996	0.4259	487
7	6.2e-02	3.4238	0.3386	3.1899	0.4069	487
8	6.2e-02	3.1459	0.3690	2.6879	0.4692	486
9	6.2e-02	2.9200	0.4006	2.6228	0.4856	487
10	6.2e-02	2.7769	0.4162	2.5452	0.4902	486
11	6.2e-02	2.6613	0.4356	2.1275	0.5567	486
12	6.2e-02	2.5621	0.4534	2.1760	0.5398	487
13	6.2e-02	2.4779	0.4673	2.5437	0.4923	486
14	6.2e-02	2.4061	0.4794	1.9562	0.5906	486
15	6.2e-02	2.3676	0.4906	2.1278	0.5630	485
16	6.2e-02	2.3331	0.4981	2.0914	0.5817	485
17	6.2e-02	2.2740	0.5099	2.2446	0.5665	485
18	6.2e-02	2.2346	0.5212	2.0257	0.5915	485
19	6.2e-02	2.2107	0.5323	2.1495	0.5831	486
20	6.2e-02	2.1945	0.5353	1.9862	0.6065	485
21	6.2e-02	2.1467	0.5491	1.9404	0.6254	484
22	6.2e-02	2.1419	0.5527	1.9026	0.6238	485
23	6.2e-02	2.1204	0.5548	1.9662	0.6234	485
24	6.2e-02	2.1237	0.5564	1.8121	0.6419	485
25	6.2e-02	2.0707	0.5722	1.9172	0.6377	485
26	6.2e-02	2.0690	0.5724	1.8956	0.6376	485
27	6.2e-02	2.0702	0.5754	1.9047	0.6409	485
28	6.2e-02	2.0599	0.5791	1.7790	0.6628	484
29	6.2e-02	2.0161	0.5929	1.8283	0.6618	485
30	6.2e-02	2.0162	0.5945	1.9805	0.6330	485
31	6.2e-02	2.0153	0.5975	1.8637	0.6542	485
32	6.2e-02	2.0166	0.5953	1.8214	0.6669	485
33	6.2e-02	1.9743	0.6078	1.7736	0.6712	485
34	6.2e-02	1.9787	0.6079	1.8883	0.6561	485
35	6.2e-02	1.9763	0.6110	2.3459	0.6043	485
36	6.2e-02	1.9886	0.6118	1.8776	0.6722	484
37	6.2e-02	1.9462	0.6255	1.7659	0.6874	485
38	6.2e-02	1.9523	0.6220	1.7820	0.6832	485
