epoch	lr	acc	loss	val_acc	val_loss
1	1.0e-03	0.1071	4.3230	0.1243	3.8634
2	1.0e-03	0.1795	3.5593	0.2139	3.2917
3	1.0e-03	0.2318	3.2452	0.2736	2.9678
4	1.0e-03	0.2732	3.0284	0.2992	2.8703
5	1.0e-03	0.3092	2.8469	0.3561	2.5770
6	1.0e-03	0.3407	2.6995	0.3802	2.4807
7	1.0e-03	0.3680	2.5649	0.4103	2.3381
8	1.0e-03	0.3949	2.4450	0.4370	2.2141
9	1.0e-03	0.4162	2.3502	0.4544	2.1483
10	1.0e-03	0.4344	2.2620	0.4594	2.1137
11	1.0e-03	0.4557	2.1810	0.4980	1.9779
12	1.0e-03	0.4708	2.1146	0.5051	1.9458
13	1.0e-03	0.4805	2.0555	0.5084	1.9258
14	1.0e-03	0.4974	1.9962	0.5354	1.8309
15	1.0e-03	0.5092	1.9500	0.5380	1.8104
16	1.0e-03	0.5189	1.8992	0.5406	1.7918
17	1.0e-03	0.5321	1.8461	0.5501	1.7762
18	1.0e-03	0.5404	1.8171	0.5548	1.7616
19	1.0e-03	0.5497	1.7735	0.5720	1.6728
20	1.0e-03	0.5560	1.7361	0.5891	1.6199
21	1.0e-03	0.5689	1.6972	0.5840	1.6396
22	1.0e-03	0.5754	1.6655	0.5885	1.6117
23	1.0e-03	0.5847	1.6412	0.5934	1.6105
24	1.0e-03	0.5939	1.6082	0.5967	1.6031
25	1.0e-03	0.5983	1.5790	0.6139	1.5254
26	1.0e-03	0.6071	1.5528	0.5984	1.6067
27	1.0e-03	0.6119	1.5182	0.6043	1.5722
28	1.0e-03	0.6189	1.5018	0.6369	1.4500
29	1.0e-03	0.6235	1.4731	0.6187	1.5387
30	1.0e-03	0.6328	1.4446	0.6224	1.5171
31	1.0e-03	0.6375	1.4237	0.6242	1.4937
32	1.0e-03	0.6432	1.4032	0.6381	1.4434
33	1.0e-03	0.6479	1.3871	0.6445	1.4263
34	1.0e-03	0.6535	1.3641	0.6483	1.4076
35	1.0e-03	0.6589	1.3416	0.6477	1.4361
36	1.0e-03	0.6629	1.3273	0.6524	1.4024
37	1.0e-03	0.6691	1.3009	0.6469	1.4275
38	1.0e-03	0.6739	1.2831	0.6311	1.5066
39	1.0e-03	0.6791	1.2706	0.6647	1.3542
40	1.0e-03	0.6832	1.2501	0.6470	1.4333
41	1.0e-03	0.6878	1.2345	0.6497	1.4089
42	1.0e-03	0.6907	1.2178	0.6704	1.3247
43	1.0e-03	0.6977	1.1953	0.6761	1.3376
44	1.0e-03	0.6988	1.1839	0.6584	1.4041
45	1.0e-03	0.7042	1.1680	0.6782	1.3447
46	1.0e-03	0.7081	1.1561	0.6654	1.3609
47	1.0e-03	0.7101	1.1402	0.6693	1.3656
48	1.0e-03	0.7152	1.1264	0.6614	1.4022
49	1.0e-03	0.7194	1.1118	0.6713	1.3597
50	1.0e-03	0.7236	1.0935	0.6617	1.4143
51	1.0e-03	0.7254	1.0824	0.6793	1.3386
52	1.0e-03	0.7336	1.0696	0.6713	1.3676
53	1.0e-03	0.7337	1.0595	0.6805	1.3418
54	1.0e-03	0.7373	1.0457	0.6817	1.3284
55	1.0e-03	0.7428	1.0271	0.6872	1.2952
56	1.0e-03	0.7442	1.0175	0.6727	1.3857
57	1.0e-03	0.7506	1.0020	0.6824	1.3654
58	1.0e-03	0.7526	0.9951	0.6822	1.3670
59	1.0e-03	0.7564	0.9824	0.6748	1.3868
60	1.0e-03	0.7574	0.9738	0.6711	1.4047
61	1.0e-03	0.7606	0.9630	0.6811	1.3418
62	1.0e-03	0.7656	0.9459	0.6768	1.3764
63	1.0e-03	0.7684	0.9356	0.7040	1.2779
64	1.0e-03	0.7716	0.9256	0.6926	1.3151
65	1.0e-03	0.7735	0.9118	0.6958	1.3017
66	1.0e-03	0.7768	0.9007	0.6999	1.2796
67	1.0e-03	0.7804	0.8961	0.7044	1.2784
68	1.0e-03	0.7800	0.8912	0.6917	1.3251
69	1.0e-03	0.7864	0.8702	0.7043	1.2670
70	1.0e-03	0.7874	0.8685	0.6982	1.3109
71	1.0e-03	0.7890	0.8617	0.6992	1.2979
72	1.0e-03	0.7954	0.8400	0.6789	1.4137
73	1.0e-03	0.7941	0.8375	0.7013	1.3193
74	1.0e-03	0.7977	0.8332	0.6993	1.2798
75	1.0e-03	0.8006	0.8222	0.6971	1.3003
76	1.0e-03	0.8048	0.8131	0.7016	1.3310
77	1.0e-03	0.8053	0.8019	0.6942	1.3213
78	1.0e-03	0.8082	0.7945	0.7096	1.2642
79	1.0e-03	0.8105	0.7859	0.7014	1.3138
80	1.0e-03	0.8131	0.7802	0.7030	1.3153
81	1.0e-03	0.8170	0.7709	0.7030	1.3276
82	1.0e-03	0.8146	0.7678	0.6998	1.3417
83	1.0e-03	0.8163	0.7651	0.7051	1.3028
84	1.0e-03	0.8212	0.7496	0.7096	1.2958
85	1.0e-03	0.8240	0.7395	0.6945	1.3587
86	1.0e-03	0.8241	0.7392	0.6933	1.3957
87	1.0e-03	0.8283	0.7199	0.6933	1.3790
88	1.0e-03	0.8269	0.7282	0.6950	1.3690
89	1.0e-03	0.8303	0.7132	0.7096	1.2815
90	1.0e-03	0.8335	0.7133	0.7133	1.2525
91	1.0e-03	0.8324	0.7043	0.6885	1.4199
92	1.0e-03	0.8389	0.6905	0.6965	1.3865
93	1.0e-03	0.8393	0.6829	0.7124	1.3001
94	1.0e-03	0.8415	0.6775	0.7106	1.2949
95	1.0e-03	0.8423	0.6767	0.7143	1.2974
96	1.0e-03	0.8460	0.6644	0.7042	1.3013
97	1.0e-03	0.8475	0.6575	0.7045	1.3825
98	1.0e-03	0.8480	0.6540	0.7051	1.3301
99	1.0e-03	0.8481	0.6502	0.7112	1.3220
100	1.0e-03	0.8515	0.6399	0.7111	1.3903
101	1.0e-03	0.8530	0.6388	0.6979	1.4247
102	1.0e-03	0.8537	0.6329	0.7059	1.3670
103	1.0e-03	0.8559	0.6270	0.7160	1.3038
104	1.0e-03	0.8579	0.6218	0.7171	1.3195
105	1.0e-03	0.8582	0.6169	0.6994	1.3420
106	1.0e-03	0.8606	0.6112	0.7049	1.3635
107	1.0e-03	0.8602	0.6109	0.7077	1.3401
108	1.0e-03	0.8595	0.6083	0.7147	1.3286
109	1.0e-03	0.8642	0.6003	0.7121	1.3423
110	1.0e-03	0.8670	0.5894	0.6939	1.4597
111	1.0e-03	0.8683	0.5817	0.7106	1.3453
112	1.0e-03	0.8677	0.5840	0.7010	1.4132
113	1.0e-03	0.8711	0.5767	0.7174	1.3304
114	1.0e-03	0.8712	0.5745	0.7118	1.3592
115	1.0e-03	0.8735	0.5668	0.7081	1.3414
116	1.0e-03	0.8758	0.5561	0.7203	1.3340
117	1.0e-03	0.8754	0.5523	0.6990	1.4363
118	1.0e-03	0.8778	0.5503	0.7185	1.3311
119	1.0e-03	0.8780	0.5524	0.7111	1.3447
120	1.0e-03	0.8786	0.5456	0.7127	1.3443
121	1.0e-03	0.8793	0.5442	0.7001	1.3890
122	1.0e-03	0.8823	0.5360	0.7090	1.3794
123	1.0e-03	0.8823	0.5321	0.7197	1.3163
124	1.0e-03	0.8825	0.5318	0.7168	1.3493
125	1.0e-03	0.8840	0.5290	0.7231	1.3172
126	1.0e-03	0.8866	0.5195	0.7175	1.3534
127	1.0e-03	0.8906	0.5113	0.7093	1.4309
128	1.0e-03	0.8896	0.5106	0.7126	1.3813
129	1.0e-03	0.8863	0.5139	0.7038	1.3905
